[2024-07-16T05:50:09.439+0530] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-07-16T05:50:09.486+0530] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: dag_prepare_data_historic.Prepare_data manual__2024-07-16T00:20:08.570795+00:00 [queued]>
[2024-07-16T05:50:09.499+0530] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: dag_prepare_data_historic.Prepare_data manual__2024-07-16T00:20:08.570795+00:00 [queued]>
[2024-07-16T05:50:09.499+0530] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-07-16T05:50:09.515+0530] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): Prepare_data> on 2024-07-16 00:20:08.570795+00:00
[2024-07-16T05:50:09.520+0530] {standard_task_runner.py:63} INFO - Started process 52089 to run task
[2024-07-16T05:50:09.523+0530] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'dag_prepare_data_historic', 'Prepare_data', 'manual__2024-07-16T00:20:08.570795+00:00', '--job-id', '1423', '--raw', '--subdir', 'DAGS_FOLDER/dag_prepare_data_historic.py', '--cfg-path', '/tmp/tmp2imn_ql2']
[2024-07-16T05:50:09.526+0530] {standard_task_runner.py:91} INFO - Job 1423: Subtask Prepare_data
[2024-07-16T05:50:09.580+0530] {task_command.py:426} INFO - Running <TaskInstance: dag_prepare_data_historic.Prepare_data manual__2024-07-16T00:20:08.570795+00:00 [running]> on host kali
[2024-07-16T05:50:09.664+0530] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='dag_prepare_data_historic' AIRFLOW_CTX_TASK_ID='Prepare_data' AIRFLOW_CTX_EXECUTION_DATE='2024-07-16T00:20:08.570795+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-07-16T00:20:08.570795+00:00'
[2024-07-16T05:50:09.665+0530] {taskinstance.py:430} INFO - ::endgroup::
[2024-07-16T05:50:10.535+0530] {logging_mixin.py:188} INFO - 2023-01-03 00:00:00
[2024-07-16T05:50:10.536+0530] {logging_mixin.py:188} INFO - 2023-01-03 00:00:00
[2024-07-16T05:50:10.537+0530] {logging_mixin.py:188} INFO - 2023-01-03 00:00:00
[2024-07-16T05:50:10.538+0530] {logging_mixin.py:188} INFO - 2023-01-03 00:00:00
[2024-07-16T05:50:10.539+0530] {logging_mixin.py:188} INFO - 2023-01-03 00:00:00
[2024-07-16T05:50:10.540+0530] {logging_mixin.py:188} INFO - 2023-01-03 00:00:00
[2024-07-16T05:50:10.541+0530] {logging_mixin.py:188} INFO - 2023-01-03 00:00:00
[2024-07-16T05:50:10.544+0530] {logging_mixin.py:188} INFO - 2023-01-03 00:00:00
[2024-07-16T05:50:10.547+0530] {logging_mixin.py:188} INFO - 2023-01-03 00:00:00
[2024-07-16T05:50:10.550+0530] {logging_mixin.py:188} INFO - 2023-01-04 00:00:00
[2024-07-16T05:50:10.551+0530] {logging_mixin.py:188} INFO - 2023-01-04 00:00:00
[2024-07-16T05:50:10.552+0530] {logging_mixin.py:188} INFO - 2023-01-04 00:00:00
[2024-07-16T05:50:10.553+0530] {logging_mixin.py:188} INFO - 2023-01-04 00:00:00
[2024-07-16T05:50:10.554+0530] {logging_mixin.py:188} INFO - 2023-01-04 00:00:00
[2024-07-16T05:50:10.555+0530] {logging_mixin.py:188} INFO - 2023-01-04 00:00:00
[2024-07-16T05:50:10.556+0530] {logging_mixin.py:188} INFO - 2023-01-04 00:00:00
[2024-07-16T05:50:10.557+0530] {logging_mixin.py:188} INFO - 2023-01-04 00:00:00
[2024-07-16T05:50:10.558+0530] {logging_mixin.py:188} INFO - 2023-01-04 00:00:00
[2024-07-16T05:50:10.561+0530] {logging_mixin.py:188} INFO - 2023-01-04 00:00:00
[2024-07-16T05:50:10.565+0530] {logging_mixin.py:188} INFO - 2023-01-05 00:00:00
[2024-07-16T05:50:10.567+0530] {logging_mixin.py:188} INFO - 2023-01-05 00:00:00
[2024-07-16T05:50:10.569+0530] {logging_mixin.py:188} INFO - 2023-01-05 00:00:00
[2024-07-16T05:50:10.570+0530] {logging_mixin.py:188} INFO - 2023-01-05 00:00:00
[2024-07-16T05:50:10.571+0530] {logging_mixin.py:188} INFO - 2023-01-05 00:00:00
[2024-07-16T05:50:10.572+0530] {logging_mixin.py:188} INFO - 2023-01-05 00:00:00
[2024-07-16T05:50:10.573+0530] {logging_mixin.py:188} INFO - 2023-01-05 00:00:00
[2024-07-16T05:50:10.574+0530] {logging_mixin.py:188} INFO - 2023-01-05 00:00:00
[2024-07-16T05:50:10.575+0530] {logging_mixin.py:188} INFO - 2023-01-05 00:00:00
[2024-07-16T05:50:10.577+0530] {logging_mixin.py:188} INFO - 2023-01-05 00:00:00
[2024-07-16T05:50:10.581+0530] {logging_mixin.py:188} INFO - 2023-01-06 00:00:00
[2024-07-16T05:50:10.583+0530] {logging_mixin.py:188} INFO - 2023-01-06 00:00:00
[2024-07-16T05:50:10.585+0530] {logging_mixin.py:188} INFO - 2023-01-06 00:00:00
[2024-07-16T05:50:10.586+0530] {logging_mixin.py:188} INFO - 2023-01-06 00:00:00
[2024-07-16T05:50:10.587+0530] {logging_mixin.py:188} INFO - 2023-01-06 00:00:00
[2024-07-16T05:50:10.588+0530] {logging_mixin.py:188} INFO - 2023-01-06 00:00:00
[2024-07-16T05:50:10.589+0530] {logging_mixin.py:188} INFO - 2023-01-06 00:00:00
[2024-07-16T05:50:10.590+0530] {logging_mixin.py:188} INFO - 2023-01-06 00:00:00
[2024-07-16T05:50:10.592+0530] {logging_mixin.py:188} INFO - 2023-01-06 00:00:00
[2024-07-16T05:50:10.595+0530] {logging_mixin.py:188} INFO - 2023-01-06 00:00:00
[2024-07-16T05:50:10.597+0530] {logging_mixin.py:188} INFO - 2023-01-07 00:00:00
[2024-07-16T05:50:10.599+0530] {logging_mixin.py:188} INFO - 2023-01-07 00:00:00
[2024-07-16T05:50:10.601+0530] {logging_mixin.py:188} INFO - 2023-01-07 00:00:00
[2024-07-16T05:50:10.602+0530] {logging_mixin.py:188} INFO - 2023-01-07 00:00:00
[2024-07-16T05:50:10.603+0530] {logging_mixin.py:188} INFO - 2023-01-07 00:00:00
[2024-07-16T05:50:10.604+0530] {logging_mixin.py:188} INFO - 2023-01-07 00:00:00
[2024-07-16T05:50:10.605+0530] {logging_mixin.py:188} INFO - 2023-01-07 00:00:00
[2024-07-16T05:50:10.606+0530] {logging_mixin.py:188} INFO - 2023-01-07 00:00:00
[2024-07-16T05:50:10.607+0530] {logging_mixin.py:188} INFO - 2023-01-07 00:00:00
[2024-07-16T05:50:10.608+0530] {logging_mixin.py:188} INFO - 2023-01-07 00:00:00
[2024-07-16T05:50:10.612+0530] {logging_mixin.py:188} INFO - 2023-01-08 00:00:00
[2024-07-16T05:50:10.614+0530] {logging_mixin.py:188} INFO - 2023-01-08 00:00:00
[2024-07-16T05:50:10.616+0530] {logging_mixin.py:188} INFO - 2023-01-08 00:00:00
[2024-07-16T05:50:10.617+0530] {logging_mixin.py:188} INFO - 2023-01-08 00:00:00
[2024-07-16T05:50:10.619+0530] {logging_mixin.py:188} INFO - 2023-01-08 00:00:00
[2024-07-16T05:50:10.620+0530] {logging_mixin.py:188} INFO - 2023-01-08 00:00:00
[2024-07-16T05:50:10.621+0530] {logging_mixin.py:188} INFO - 2023-01-08 00:00:00
[2024-07-16T05:50:10.622+0530] {logging_mixin.py:188} INFO - 2023-01-08 00:00:00
[2024-07-16T05:50:10.623+0530] {logging_mixin.py:188} INFO - 2023-01-08 00:00:00
[2024-07-16T05:50:10.625+0530] {logging_mixin.py:188} INFO - 2023-01-08 00:00:00
[2024-07-16T05:50:10.629+0530] {logging_mixin.py:188} INFO - 2023-01-09 00:00:00
[2024-07-16T05:50:10.631+0530] {logging_mixin.py:188} INFO - 2023-01-09 00:00:00
[2024-07-16T05:50:10.632+0530] {logging_mixin.py:188} INFO - 2023-01-09 00:00:00
[2024-07-16T05:50:10.634+0530] {logging_mixin.py:188} INFO - 2023-01-09 00:00:00
[2024-07-16T05:50:10.635+0530] {logging_mixin.py:188} INFO - 2023-01-09 00:00:00
[2024-07-16T05:50:10.637+0530] {logging_mixin.py:188} INFO - 2023-01-09 00:00:00
[2024-07-16T05:50:10.638+0530] {logging_mixin.py:188} INFO - 2023-01-09 00:00:00
[2024-07-16T05:50:10.639+0530] {logging_mixin.py:188} INFO - 2023-01-09 00:00:00
[2024-07-16T05:50:10.641+0530] {logging_mixin.py:188} INFO - 2023-01-09 00:00:00
[2024-07-16T05:50:10.643+0530] {logging_mixin.py:188} INFO - 2023-01-09 00:00:00
[2024-07-16T05:50:10.647+0530] {logging_mixin.py:188} INFO - 2023-01-10 00:00:00
[2024-07-16T05:50:10.649+0530] {logging_mixin.py:188} INFO - 2023-01-10 00:00:00
[2024-07-16T05:50:10.650+0530] {logging_mixin.py:188} INFO - 2023-01-10 00:00:00
[2024-07-16T05:50:10.652+0530] {logging_mixin.py:188} INFO - 2023-01-10 00:00:00
[2024-07-16T05:50:10.654+0530] {logging_mixin.py:188} INFO - 2023-01-10 00:00:00
[2024-07-16T05:50:10.655+0530] {logging_mixin.py:188} INFO - 2023-01-10 00:00:00
[2024-07-16T05:50:10.656+0530] {logging_mixin.py:188} INFO - 2023-01-10 00:00:00
[2024-07-16T05:50:10.658+0530] {logging_mixin.py:188} INFO - 2023-01-10 00:00:00
[2024-07-16T05:50:10.662+0530] {logging_mixin.py:188} INFO - 2023-01-10 00:00:00
[2024-07-16T05:50:10.665+0530] {logging_mixin.py:188} INFO - 2023-01-10 00:00:00
[2024-07-16T05:50:10.667+0530] {logging_mixin.py:188} INFO - 2023-01-11 00:00:00
[2024-07-16T05:50:10.669+0530] {logging_mixin.py:188} INFO - 2023-01-11 00:00:00
[2024-07-16T05:50:10.670+0530] {logging_mixin.py:188} INFO - 2023-01-11 00:00:00
[2024-07-16T05:50:10.671+0530] {logging_mixin.py:188} INFO - 2023-01-11 00:00:00
[2024-07-16T05:50:10.672+0530] {logging_mixin.py:188} INFO - 2023-01-11 00:00:00
[2024-07-16T05:50:10.673+0530] {logging_mixin.py:188} INFO - 2023-01-11 00:00:00
[2024-07-16T05:50:10.675+0530] {logging_mixin.py:188} INFO - 2023-01-11 00:00:00
[2024-07-16T05:50:10.679+0530] {logging_mixin.py:188} INFO - 2023-01-11 00:00:00
[2024-07-16T05:50:10.682+0530] {logging_mixin.py:188} INFO - 2023-01-11 00:00:00
[2024-07-16T05:50:10.685+0530] {logging_mixin.py:188} INFO - 2023-01-11 00:00:00
[2024-07-16T05:50:10.686+0530] {logging_mixin.py:188} INFO - 2023-01-12 00:00:00
[2024-07-16T05:50:10.687+0530] {logging_mixin.py:188} INFO - 2023-01-12 00:00:00
[2024-07-16T05:50:10.689+0530] {logging_mixin.py:188} INFO - 2023-01-12 00:00:00
[2024-07-16T05:50:10.690+0530] {logging_mixin.py:188} INFO - 2023-01-12 00:00:00
[2024-07-16T05:50:10.691+0530] {logging_mixin.py:188} INFO - 2023-01-12 00:00:00
[2024-07-16T05:50:10.695+0530] {logging_mixin.py:188} INFO - 2023-01-12 00:00:00
[2024-07-16T05:50:10.697+0530] {logging_mixin.py:188} INFO - 2023-01-12 00:00:00
[2024-07-16T05:50:10.699+0530] {logging_mixin.py:188} INFO - 2023-01-12 00:00:00
[2024-07-16T05:50:10.700+0530] {logging_mixin.py:188} INFO - 2023-01-12 00:00:00
[2024-07-16T05:50:10.702+0530] {logging_mixin.py:188} INFO - 2023-01-12 00:00:00
[2024-07-16T05:50:10.703+0530] {logging_mixin.py:188} INFO - 2023-01-13 00:00:00
[2024-07-16T05:50:10.704+0530] {logging_mixin.py:188} INFO - 2023-01-13 00:00:00
[2024-07-16T05:50:10.706+0530] {logging_mixin.py:188} INFO - 2023-01-13 00:00:00
[2024-07-16T05:50:10.707+0530] {logging_mixin.py:188} INFO - 2023-01-13 00:00:00
[2024-07-16T05:50:10.708+0530] {logging_mixin.py:188} INFO - 2023-01-13 00:00:00
[2024-07-16T05:50:10.712+0530] {logging_mixin.py:188} INFO - 2023-01-13 00:00:00
[2024-07-16T05:50:10.714+0530] {logging_mixin.py:188} INFO - 2023-01-13 00:00:00
[2024-07-16T05:50:10.716+0530] {logging_mixin.py:188} INFO - 2023-01-13 00:00:00
[2024-07-16T05:50:10.717+0530] {logging_mixin.py:188} INFO - 2023-01-13 00:00:00
[2024-07-16T05:50:10.718+0530] {logging_mixin.py:188} INFO - 2023-01-13 00:00:00
[2024-07-16T05:50:10.720+0530] {logging_mixin.py:188} INFO - 2023-01-14 00:00:00
[2024-07-16T05:50:10.721+0530] {logging_mixin.py:188} INFO - 2023-01-14 00:00:00
[2024-07-16T05:50:10.722+0530] {logging_mixin.py:188} INFO - 2023-01-14 00:00:00
[2024-07-16T05:50:10.723+0530] {logging_mixin.py:188} INFO - 2023-01-14 00:00:00
[2024-07-16T05:50:10.725+0530] {logging_mixin.py:188} INFO - 2023-01-14 00:00:00
[2024-07-16T05:50:10.728+0530] {logging_mixin.py:188} INFO - 2023-01-14 00:00:00
[2024-07-16T05:50:10.730+0530] {logging_mixin.py:188} INFO - 2023-01-14 00:00:00
[2024-07-16T05:50:10.731+0530] {logging_mixin.py:188} INFO - 2023-01-14 00:00:00
[2024-07-16T05:50:10.733+0530] {logging_mixin.py:188} INFO - 2023-01-14 00:00:00
[2024-07-16T05:50:10.734+0530] {logging_mixin.py:188} INFO - 2023-01-14 00:00:00
[2024-07-16T05:50:10.735+0530] {logging_mixin.py:188} INFO - 2023-01-15 00:00:00
[2024-07-16T05:50:10.736+0530] {logging_mixin.py:188} INFO - 2023-01-15 00:00:00
[2024-07-16T05:50:10.737+0530] {logging_mixin.py:188} INFO - 2023-01-15 00:00:00
[2024-07-16T05:50:10.738+0530] {logging_mixin.py:188} INFO - 2023-01-15 00:00:00
[2024-07-16T05:50:10.739+0530] {logging_mixin.py:188} INFO - 2023-01-15 00:00:00
[2024-07-16T05:50:10.741+0530] {logging_mixin.py:188} INFO - 2023-01-15 00:00:00
[2024-07-16T05:50:10.744+0530] {logging_mixin.py:188} INFO - 2023-01-15 00:00:00
[2024-07-16T05:50:10.747+0530] {logging_mixin.py:188} INFO - 2023-01-15 00:00:00
[2024-07-16T05:50:10.750+0530] {logging_mixin.py:188} INFO - 2023-01-15 00:00:00
[2024-07-16T05:50:10.752+0530] {logging_mixin.py:188} INFO - 2023-01-15 00:00:00
[2024-07-16T05:50:10.753+0530] {logging_mixin.py:188} INFO - 2023-01-16 00:00:00
[2024-07-16T05:50:10.755+0530] {logging_mixin.py:188} INFO - 2023-01-16 00:00:00
[2024-07-16T05:50:10.757+0530] {logging_mixin.py:188} INFO - 2023-01-16 00:00:00
[2024-07-16T05:50:10.759+0530] {logging_mixin.py:188} INFO - 2023-01-16 00:00:00
[2024-07-16T05:50:10.763+0530] {logging_mixin.py:188} INFO - 2023-01-16 00:00:00
[2024-07-16T05:50:10.765+0530] {logging_mixin.py:188} INFO - 2023-01-16 00:00:00
[2024-07-16T05:50:10.766+0530] {logging_mixin.py:188} INFO - 2023-01-16 00:00:00
[2024-07-16T05:50:10.767+0530] {logging_mixin.py:188} INFO - 2023-01-16 00:00:00
[2024-07-16T05:50:10.768+0530] {logging_mixin.py:188} INFO - 2023-01-16 00:00:00
[2024-07-16T05:50:10.769+0530] {logging_mixin.py:188} INFO - 2023-01-16 00:00:00
[2024-07-16T05:50:10.770+0530] {logging_mixin.py:188} INFO - 2023-01-17 00:00:00
[2024-07-16T05:50:10.771+0530] {logging_mixin.py:188} INFO - 2023-01-17 00:00:00
[2024-07-16T05:50:10.773+0530] {logging_mixin.py:188} INFO - 2023-01-17 00:00:00
[2024-07-16T05:50:10.775+0530] {logging_mixin.py:188} INFO - 2023-01-17 00:00:00
[2024-07-16T05:50:10.778+0530] {logging_mixin.py:188} INFO - 2023-01-17 00:00:00
[2024-07-16T05:50:10.780+0530] {logging_mixin.py:188} INFO - 2023-01-17 00:00:00
[2024-07-16T05:50:10.782+0530] {logging_mixin.py:188} INFO - 2023-01-17 00:00:00
[2024-07-16T05:50:10.783+0530] {logging_mixin.py:188} INFO - 2023-01-17 00:00:00
[2024-07-16T05:50:10.785+0530] {logging_mixin.py:188} INFO - 2023-01-17 00:00:00
[2024-07-16T05:50:10.786+0530] {logging_mixin.py:188} INFO - 2023-01-17 00:00:00
[2024-07-16T05:50:10.788+0530] {logging_mixin.py:188} INFO - 2023-01-18 00:00:00
[2024-07-16T05:50:10.789+0530] {logging_mixin.py:188} INFO - 2023-01-18 00:00:00
[2024-07-16T05:50:10.790+0530] {logging_mixin.py:188} INFO - 2023-01-18 00:00:00
[2024-07-16T05:50:10.791+0530] {logging_mixin.py:188} INFO - 2023-01-18 00:00:00
[2024-07-16T05:50:10.792+0530] {logging_mixin.py:188} INFO - 2023-01-18 00:00:00
[2024-07-16T05:50:10.795+0530] {logging_mixin.py:188} INFO - 2023-01-18 00:00:00
[2024-07-16T05:50:10.797+0530] {logging_mixin.py:188} INFO - 2023-01-18 00:00:00
[2024-07-16T05:50:10.799+0530] {logging_mixin.py:188} INFO - 2023-01-18 00:00:00
[2024-07-16T05:50:10.800+0530] {logging_mixin.py:188} INFO - 2023-01-18 00:00:00
[2024-07-16T05:50:10.801+0530] {logging_mixin.py:188} INFO - 2023-01-18 00:00:00
[2024-07-16T05:50:10.802+0530] {logging_mixin.py:188} INFO - 2023-01-19 00:00:00
[2024-07-16T05:50:10.803+0530] {logging_mixin.py:188} INFO - 2023-01-19 00:00:00
[2024-07-16T05:50:10.803+0530] {logging_mixin.py:188} INFO - 2023-01-19 00:00:00
[2024-07-16T05:50:10.805+0530] {logging_mixin.py:188} INFO - 2023-01-19 00:00:00
[2024-07-16T05:50:10.806+0530] {logging_mixin.py:188} INFO - 2023-01-19 00:00:00
[2024-07-16T05:50:10.806+0530] {logging_mixin.py:188} INFO - 2023-01-19 00:00:00
[2024-07-16T05:50:10.807+0530] {logging_mixin.py:188} INFO - 2023-01-19 00:00:00
[2024-07-16T05:50:10.808+0530] {logging_mixin.py:188} INFO - 2023-01-19 00:00:00
[2024-07-16T05:50:10.811+0530] {logging_mixin.py:188} INFO - 2023-01-19 00:00:00
[2024-07-16T05:50:10.813+0530] {logging_mixin.py:188} INFO - 2023-01-19 00:00:00
[2024-07-16T05:50:10.814+0530] {logging_mixin.py:188} INFO - 2023-01-20 00:00:00
[2024-07-16T05:50:10.816+0530] {logging_mixin.py:188} INFO - 2023-01-20 00:00:00
[2024-07-16T05:50:10.816+0530] {logging_mixin.py:188} INFO - 2023-01-20 00:00:00
[2024-07-16T05:50:10.817+0530] {logging_mixin.py:188} INFO - 2023-01-20 00:00:00
[2024-07-16T05:50:10.819+0530] {logging_mixin.py:188} INFO - 2023-01-20 00:00:00
[2024-07-16T05:50:10.820+0530] {logging_mixin.py:188} INFO - 2023-01-20 00:00:00
[2024-07-16T05:50:10.821+0530] {logging_mixin.py:188} INFO - 2023-01-20 00:00:00
[2024-07-16T05:50:10.822+0530] {logging_mixin.py:188} INFO - 2023-01-20 00:00:00
[2024-07-16T05:50:10.823+0530] {logging_mixin.py:188} INFO - 2023-01-20 00:00:00
[2024-07-16T05:50:10.824+0530] {logging_mixin.py:188} INFO - 2023-01-20 00:00:00
[2024-07-16T05:50:10.825+0530] {logging_mixin.py:188} INFO - 2023-01-21 00:00:00
[2024-07-16T05:50:10.829+0530] {logging_mixin.py:188} INFO - 2023-01-21 00:00:00
[2024-07-16T05:50:10.830+0530] {logging_mixin.py:188} INFO - 2023-01-21 00:00:00
[2024-07-16T05:50:10.831+0530] {logging_mixin.py:188} INFO - 2023-01-21 00:00:00
[2024-07-16T05:50:10.832+0530] {logging_mixin.py:188} INFO - 2023-01-21 00:00:00
[2024-07-16T05:50:10.833+0530] {logging_mixin.py:188} INFO - 2023-01-21 00:00:00
[2024-07-16T05:50:10.834+0530] {logging_mixin.py:188} INFO - 2023-01-21 00:00:00
[2024-07-16T05:50:10.835+0530] {logging_mixin.py:188} INFO - 2023-01-21 00:00:00
[2024-07-16T05:50:10.836+0530] {logging_mixin.py:188} INFO - 2023-01-21 00:00:00
[2024-07-16T05:50:10.837+0530] {logging_mixin.py:188} INFO - 2023-01-21 00:00:00
[2024-07-16T05:50:10.838+0530] {logging_mixin.py:188} INFO - 2023-01-22 00:00:00
[2024-07-16T05:50:10.839+0530] {logging_mixin.py:188} INFO - 2023-01-22 00:00:00
[2024-07-16T05:50:10.839+0530] {logging_mixin.py:188} INFO - 2023-01-22 00:00:00
[2024-07-16T05:50:10.840+0530] {logging_mixin.py:188} INFO - 2023-01-22 00:00:00
[2024-07-16T05:50:10.841+0530] {logging_mixin.py:188} INFO - 2023-01-22 00:00:00
[2024-07-16T05:50:10.842+0530] {logging_mixin.py:188} INFO - 2023-01-22 00:00:00
[2024-07-16T05:50:10.845+0530] {logging_mixin.py:188} INFO - 2023-01-22 00:00:00
[2024-07-16T05:50:10.846+0530] {logging_mixin.py:188} INFO - 2023-01-22 00:00:00
[2024-07-16T05:50:10.848+0530] {logging_mixin.py:188} INFO - 2023-01-22 00:00:00
[2024-07-16T05:50:10.849+0530] {logging_mixin.py:188} INFO - 2023-01-22 00:00:00
[2024-07-16T05:50:10.850+0530] {logging_mixin.py:188} INFO - 2023-01-23 00:00:00
[2024-07-16T05:50:10.851+0530] {logging_mixin.py:188} INFO - 2023-01-23 00:00:00
[2024-07-16T05:50:10.852+0530] {logging_mixin.py:188} INFO - 2023-01-23 00:00:00
[2024-07-16T05:50:10.853+0530] {logging_mixin.py:188} INFO - 2023-01-23 00:00:00
[2024-07-16T05:50:10.854+0530] {logging_mixin.py:188} INFO - 2023-01-23 00:00:00
[2024-07-16T05:50:10.854+0530] {logging_mixin.py:188} INFO - 2023-01-23 00:00:00
[2024-07-16T05:50:10.855+0530] {logging_mixin.py:188} INFO - 2023-01-23 00:00:00
[2024-07-16T05:50:10.856+0530] {logging_mixin.py:188} INFO - 2023-01-23 00:00:00
[2024-07-16T05:50:10.857+0530] {logging_mixin.py:188} INFO - 2023-01-23 00:00:00
[2024-07-16T05:50:10.858+0530] {logging_mixin.py:188} INFO - 2023-01-23 00:00:00
[2024-07-16T05:50:10.861+0530] {logging_mixin.py:188} INFO - 2023-01-24 00:00:00
[2024-07-16T05:50:10.863+0530] {logging_mixin.py:188} INFO - 2023-01-24 00:00:00
[2024-07-16T05:50:10.864+0530] {logging_mixin.py:188} INFO - 2023-01-24 00:00:00
[2024-07-16T05:50:10.865+0530] {logging_mixin.py:188} INFO - 2023-01-24 00:00:00
[2024-07-16T05:50:10.866+0530] {logging_mixin.py:188} INFO - 2023-01-24 00:00:00
[2024-07-16T05:50:10.867+0530] {logging_mixin.py:188} INFO - 2023-01-24 00:00:00
[2024-07-16T05:50:10.868+0530] {logging_mixin.py:188} INFO - 2023-01-24 00:00:00
[2024-07-16T05:50:10.869+0530] {logging_mixin.py:188} INFO - 2023-01-24 00:00:00
[2024-07-16T05:50:10.870+0530] {logging_mixin.py:188} INFO - 2023-01-24 00:00:00
[2024-07-16T05:50:10.871+0530] {logging_mixin.py:188} INFO - 2023-01-24 00:00:00
[2024-07-16T05:50:10.871+0530] {logging_mixin.py:188} INFO - 2023-01-25 00:00:00
[2024-07-16T05:50:10.873+0530] {logging_mixin.py:188} INFO - 2023-01-25 00:00:00
