[2024-07-16T05:57:09.586+0530] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-07-16T05:57:09.620+0530] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: dag_prepare_data_historic.Prepare_data manual__2024-07-16T00:20:08.570795+00:00 [queued]>
[2024-07-16T05:57:09.631+0530] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: dag_prepare_data_historic.Prepare_data manual__2024-07-16T00:20:08.570795+00:00 [queued]>
[2024-07-16T05:57:09.631+0530] {taskinstance.py:2306} INFO - Starting attempt 2 of 2
[2024-07-16T05:57:09.648+0530] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): Prepare_data> on 2024-07-16 00:20:08.570795+00:00
[2024-07-16T05:57:09.653+0530] {standard_task_runner.py:63} INFO - Started process 62551 to run task
[2024-07-16T05:57:09.656+0530] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'dag_prepare_data_historic', 'Prepare_data', 'manual__2024-07-16T00:20:08.570795+00:00', '--job-id', '1424', '--raw', '--subdir', 'DAGS_FOLDER/dag_prepare_data_historic.py', '--cfg-path', '/tmp/tmp568s6shq']
[2024-07-16T05:57:09.658+0530] {standard_task_runner.py:91} INFO - Job 1424: Subtask Prepare_data
[2024-07-16T05:57:09.707+0530] {task_command.py:426} INFO - Running <TaskInstance: dag_prepare_data_historic.Prepare_data manual__2024-07-16T00:20:08.570795+00:00 [running]> on host kali
[2024-07-16T05:57:09.784+0530] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='dag_prepare_data_historic' AIRFLOW_CTX_TASK_ID='Prepare_data' AIRFLOW_CTX_EXECUTION_DATE='2024-07-16T00:20:08.570795+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-07-16T00:20:08.570795+00:00'
[2024-07-16T05:57:09.784+0530] {taskinstance.py:430} INFO - ::endgroup::
[2024-07-16T05:57:10.506+0530] {logging_mixin.py:188} INFO - 2023-01-03 00:00:00
[2024-07-16T05:57:10.508+0530] {logging_mixin.py:188} INFO - 2023-01-03 00:00:00
[2024-07-16T05:57:10.510+0530] {logging_mixin.py:188} INFO - 2023-01-03 00:00:00
[2024-07-16T05:57:10.513+0530] {logging_mixin.py:188} INFO - 2023-01-03 00:00:00
[2024-07-16T05:57:10.515+0530] {logging_mixin.py:188} INFO - 2023-01-04 00:00:00
[2024-07-16T05:57:10.517+0530] {logging_mixin.py:188} INFO - 2023-01-04 00:00:00
[2024-07-16T05:57:10.519+0530] {logging_mixin.py:188} INFO - 2023-01-04 00:00:00
[2024-07-16T05:57:10.520+0530] {logging_mixin.py:188} INFO - 2023-01-04 00:00:00
[2024-07-16T05:57:10.521+0530] {logging_mixin.py:188} INFO - 2023-01-04 00:00:00
[2024-07-16T05:57:10.522+0530] {logging_mixin.py:188} INFO - 2023-01-04 00:00:00
[2024-07-16T05:57:10.524+0530] {logging_mixin.py:188} INFO - 2023-01-04 00:00:00
[2024-07-16T05:57:10.525+0530] {logging_mixin.py:188} INFO - 2023-01-04 00:00:00
[2024-07-16T05:57:10.529+0530] {logging_mixin.py:188} INFO - 2023-01-04 00:00:00
[2024-07-16T05:57:10.531+0530] {logging_mixin.py:188} INFO - 2023-01-04 00:00:00
[2024-07-16T05:57:10.534+0530] {logging_mixin.py:188} INFO - 2023-01-05 00:00:00
[2024-07-16T05:57:10.536+0530] {logging_mixin.py:188} INFO - 2023-01-05 00:00:00
[2024-07-16T05:57:10.538+0530] {logging_mixin.py:188} INFO - 2023-01-05 00:00:00
[2024-07-16T05:57:10.541+0530] {logging_mixin.py:188} INFO - 2023-01-05 00:00:00
[2024-07-16T05:57:10.543+0530] {logging_mixin.py:188} INFO - 2023-01-05 00:00:00
[2024-07-16T05:57:10.545+0530] {logging_mixin.py:188} INFO - 2023-01-05 00:00:00
[2024-07-16T05:57:10.547+0530] {logging_mixin.py:188} INFO - 2023-01-05 00:00:00
[2024-07-16T05:57:10.548+0530] {logging_mixin.py:188} INFO - 2023-01-05 00:00:00
[2024-07-16T05:57:10.549+0530] {logging_mixin.py:188} INFO - 2023-01-05 00:00:00
[2024-07-16T05:57:10.551+0530] {logging_mixin.py:188} INFO - 2023-01-05 00:00:00
[2024-07-16T05:57:10.552+0530] {logging_mixin.py:188} INFO - 2023-01-06 00:00:00
[2024-07-16T05:57:10.553+0530] {logging_mixin.py:188} INFO - 2023-01-06 00:00:00
[2024-07-16T05:57:10.554+0530] {logging_mixin.py:188} INFO - 2023-01-06 00:00:00
[2024-07-16T05:57:10.554+0530] {logging_mixin.py:188} INFO - 2023-01-06 00:00:00
[2024-07-16T05:57:10.555+0530] {logging_mixin.py:188} INFO - 2023-01-06 00:00:00
[2024-07-16T05:57:10.556+0530] {logging_mixin.py:188} INFO - 2023-01-06 00:00:00
[2024-07-16T05:57:10.557+0530] {logging_mixin.py:188} INFO - 2023-01-06 00:00:00
[2024-07-16T05:57:10.558+0530] {logging_mixin.py:188} INFO - 2023-01-06 00:00:00
[2024-07-16T05:57:10.560+0530] {logging_mixin.py:188} INFO - 2023-01-06 00:00:00
[2024-07-16T05:57:10.562+0530] {logging_mixin.py:188} INFO - 2023-01-06 00:00:00
[2024-07-16T05:57:10.563+0530] {logging_mixin.py:188} INFO - 2023-01-07 00:00:00
[2024-07-16T05:57:10.565+0530] {logging_mixin.py:188} INFO - 2023-01-07 00:00:00
[2024-07-16T05:57:10.566+0530] {logging_mixin.py:188} INFO - 2023-01-07 00:00:00
[2024-07-16T05:57:10.567+0530] {logging_mixin.py:188} INFO - 2023-01-07 00:00:00
[2024-07-16T05:57:10.568+0530] {logging_mixin.py:188} INFO - 2023-01-07 00:00:00
[2024-07-16T05:57:10.569+0530] {logging_mixin.py:188} INFO - 2023-01-07 00:00:00
[2024-07-16T05:57:10.570+0530] {logging_mixin.py:188} INFO - 2023-01-07 00:00:00
[2024-07-16T05:57:10.570+0530] {logging_mixin.py:188} INFO - 2023-01-07 00:00:00
[2024-07-16T05:57:10.571+0530] {logging_mixin.py:188} INFO - 2023-01-07 00:00:00
[2024-07-16T05:57:10.572+0530] {logging_mixin.py:188} INFO - 2023-01-07 00:00:00
[2024-07-16T05:57:10.573+0530] {logging_mixin.py:188} INFO - 2023-01-08 00:00:00
[2024-07-16T05:57:10.574+0530] {logging_mixin.py:188} INFO - 2023-01-08 00:00:00
[2024-07-16T05:57:10.575+0530] {logging_mixin.py:188} INFO - 2023-01-08 00:00:00
[2024-07-16T05:57:10.576+0530] {logging_mixin.py:188} INFO - 2023-01-08 00:00:00
[2024-07-16T05:57:10.578+0530] {logging_mixin.py:188} INFO - 2023-01-08 00:00:00
[2024-07-16T05:57:10.579+0530] {logging_mixin.py:188} INFO - 2023-01-08 00:00:00
[2024-07-16T05:57:10.580+0530] {logging_mixin.py:188} INFO - 2023-01-08 00:00:00
[2024-07-16T05:57:10.583+0530] {logging_mixin.py:188} INFO - 2023-01-08 00:00:00
[2024-07-16T05:57:10.585+0530] {logging_mixin.py:188} INFO - 2023-01-08 00:00:00
[2024-07-16T05:57:10.587+0530] {logging_mixin.py:188} INFO - 2023-01-08 00:00:00
[2024-07-16T05:57:10.587+0530] {logging_mixin.py:188} INFO - 2023-01-09 00:00:00
[2024-07-16T05:57:10.588+0530] {logging_mixin.py:188} INFO - 2023-01-09 00:00:00
[2024-07-16T05:57:10.589+0530] {logging_mixin.py:188} INFO - 2023-01-09 00:00:00
[2024-07-16T05:57:10.590+0530] {logging_mixin.py:188} INFO - 2023-01-09 00:00:00
[2024-07-16T05:57:10.591+0530] {logging_mixin.py:188} INFO - 2023-01-09 00:00:00
[2024-07-16T05:57:10.592+0530] {logging_mixin.py:188} INFO - 2023-01-09 00:00:00
[2024-07-16T05:57:10.593+0530] {logging_mixin.py:188} INFO - 2023-01-09 00:00:00
[2024-07-16T05:57:10.595+0530] {logging_mixin.py:188} INFO - 2023-01-09 00:00:00
[2024-07-16T05:57:10.596+0530] {logging_mixin.py:188} INFO - 2023-01-09 00:00:00
[2024-07-16T05:57:10.597+0530] {logging_mixin.py:188} INFO - 2023-01-09 00:00:00
[2024-07-16T05:57:10.598+0530] {logging_mixin.py:188} INFO - 2023-01-10 00:00:00
[2024-07-16T05:57:10.599+0530] {logging_mixin.py:188} INFO - 2023-01-10 00:00:00
[2024-07-16T05:57:10.599+0530] {logging_mixin.py:188} INFO - 2023-01-10 00:00:00
[2024-07-16T05:57:10.600+0530] {logging_mixin.py:188} INFO - 2023-01-10 00:00:00
[2024-07-16T05:57:10.601+0530] {logging_mixin.py:188} INFO - 2023-01-10 00:00:00
[2024-07-16T05:57:10.602+0530] {logging_mixin.py:188} INFO - 2023-01-10 00:00:00
[2024-07-16T05:57:10.603+0530] {logging_mixin.py:188} INFO - 2023-01-10 00:00:00
[2024-07-16T05:57:10.604+0530] {logging_mixin.py:188} INFO - 2023-01-10 00:00:00
[2024-07-16T05:57:10.604+0530] {logging_mixin.py:188} INFO - 2023-01-10 00:00:00
[2024-07-16T05:57:10.605+0530] {logging_mixin.py:188} INFO - 2023-01-10 00:00:00
[2024-07-16T05:57:10.606+0530] {logging_mixin.py:188} INFO - 2023-01-11 00:00:00
[2024-07-16T05:57:10.607+0530] {logging_mixin.py:188} INFO - 2023-01-11 00:00:00
[2024-07-16T05:57:10.608+0530] {logging_mixin.py:188} INFO - 2023-01-11 00:00:00
[2024-07-16T05:57:10.608+0530] {logging_mixin.py:188} INFO - 2023-01-11 00:00:00
[2024-07-16T05:57:10.610+0530] {logging_mixin.py:188} INFO - 2023-01-11 00:00:00
[2024-07-16T05:57:10.612+0530] {logging_mixin.py:188} INFO - 2023-01-11 00:00:00
[2024-07-16T05:57:10.613+0530] {logging_mixin.py:188} INFO - 2023-01-11 00:00:00
[2024-07-16T05:57:10.614+0530] {logging_mixin.py:188} INFO - 2023-01-11 00:00:00
[2024-07-16T05:57:10.615+0530] {logging_mixin.py:188} INFO - 2023-01-11 00:00:00
[2024-07-16T05:57:10.616+0530] {logging_mixin.py:188} INFO - 2023-01-11 00:00:00
[2024-07-16T05:57:10.617+0530] {logging_mixin.py:188} INFO - 2023-01-12 00:00:00
[2024-07-16T05:57:10.617+0530] {logging_mixin.py:188} INFO - 2023-01-12 00:00:00
[2024-07-16T05:57:10.618+0530] {logging_mixin.py:188} INFO - 2023-01-12 00:00:00
[2024-07-16T05:57:10.619+0530] {logging_mixin.py:188} INFO - 2023-01-12 00:00:00
[2024-07-16T05:57:10.620+0530] {logging_mixin.py:188} INFO - 2023-01-12 00:00:00
[2024-07-16T05:57:10.621+0530] {logging_mixin.py:188} INFO - 2023-01-12 00:00:00
[2024-07-16T05:57:10.621+0530] {logging_mixin.py:188} INFO - 2023-01-12 00:00:00
[2024-07-16T05:57:10.622+0530] {logging_mixin.py:188} INFO - 2023-01-12 00:00:00
[2024-07-16T05:57:10.623+0530] {logging_mixin.py:188} INFO - 2023-01-12 00:00:00
[2024-07-16T05:57:10.624+0530] {logging_mixin.py:188} INFO - 2023-01-12 00:00:00
[2024-07-16T05:57:10.624+0530] {logging_mixin.py:188} INFO - 2023-01-13 00:00:00
[2024-07-16T05:57:10.625+0530] {logging_mixin.py:188} INFO - 2023-01-13 00:00:00
[2024-07-16T05:57:10.626+0530] {logging_mixin.py:188} INFO - 2023-01-13 00:00:00
[2024-07-16T05:57:10.628+0530] {logging_mixin.py:188} INFO - 2023-01-13 00:00:00
[2024-07-16T05:57:10.629+0530] {logging_mixin.py:188} INFO - 2023-01-13 00:00:00
[2024-07-16T05:57:10.630+0530] {logging_mixin.py:188} INFO - 2023-01-13 00:00:00
[2024-07-16T05:57:10.631+0530] {logging_mixin.py:188} INFO - 2023-01-13 00:00:00
[2024-07-16T05:57:10.632+0530] {logging_mixin.py:188} INFO - 2023-01-13 00:00:00
[2024-07-16T05:57:10.633+0530] {logging_mixin.py:188} INFO - 2023-01-13 00:00:00
[2024-07-16T05:57:10.633+0530] {logging_mixin.py:188} INFO - 2023-01-13 00:00:00
[2024-07-16T05:57:10.634+0530] {logging_mixin.py:188} INFO - 2023-01-14 00:00:00
[2024-07-16T05:57:10.635+0530] {logging_mixin.py:188} INFO - 2023-01-14 00:00:00
[2024-07-16T05:57:10.636+0530] {logging_mixin.py:188} INFO - 2023-01-14 00:00:00
[2024-07-16T05:57:10.637+0530] {logging_mixin.py:188} INFO - 2023-01-14 00:00:00
[2024-07-16T05:57:10.637+0530] {logging_mixin.py:188} INFO - 2023-01-14 00:00:00
[2024-07-16T05:57:10.638+0530] {logging_mixin.py:188} INFO - 2023-01-14 00:00:00
[2024-07-16T05:57:10.639+0530] {logging_mixin.py:188} INFO - 2023-01-14 00:00:00
[2024-07-16T05:57:10.639+0530] {logging_mixin.py:188} INFO - 2023-01-14 00:00:00
[2024-07-16T05:57:10.640+0530] {logging_mixin.py:188} INFO - 2023-01-14 00:00:00
[2024-07-16T05:57:10.641+0530] {logging_mixin.py:188} INFO - 2023-01-14 00:00:00
[2024-07-16T05:57:10.641+0530] {logging_mixin.py:188} INFO - 2023-01-15 00:00:00
[2024-07-16T05:57:10.642+0530] {logging_mixin.py:188} INFO - 2023-01-15 00:00:00
[2024-07-16T05:57:10.643+0530] {logging_mixin.py:188} INFO - 2023-01-15 00:00:00
[2024-07-16T05:57:10.645+0530] {logging_mixin.py:188} INFO - 2023-01-15 00:00:00
[2024-07-16T05:57:10.646+0530] {logging_mixin.py:188} INFO - 2023-01-15 00:00:00
[2024-07-16T05:57:10.647+0530] {logging_mixin.py:188} INFO - 2023-01-15 00:00:00
[2024-07-16T05:57:10.648+0530] {logging_mixin.py:188} INFO - 2023-01-15 00:00:00
[2024-07-16T05:57:10.649+0530] {logging_mixin.py:188} INFO - 2023-01-15 00:00:00
[2024-07-16T05:57:10.650+0530] {logging_mixin.py:188} INFO - 2023-01-15 00:00:00
[2024-07-16T05:57:10.651+0530] {logging_mixin.py:188} INFO - 2023-01-15 00:00:00
[2024-07-16T05:57:10.652+0530] {logging_mixin.py:188} INFO - 2023-01-16 00:00:00
[2024-07-16T05:57:10.653+0530] {logging_mixin.py:188} INFO - 2023-01-16 00:00:00
[2024-07-16T05:57:10.653+0530] {logging_mixin.py:188} INFO - 2023-01-16 00:00:00
[2024-07-16T05:57:10.654+0530] {logging_mixin.py:188} INFO - 2023-01-16 00:00:00
[2024-07-16T05:57:10.655+0530] {logging_mixin.py:188} INFO - 2023-01-16 00:00:00
[2024-07-16T05:57:10.655+0530] {logging_mixin.py:188} INFO - 2023-01-16 00:00:00
[2024-07-16T05:57:10.656+0530] {logging_mixin.py:188} INFO - 2023-01-16 00:00:00
[2024-07-16T05:57:10.657+0530] {logging_mixin.py:188} INFO - 2023-01-16 00:00:00
[2024-07-16T05:57:10.658+0530] {logging_mixin.py:188} INFO - 2023-01-16 00:00:00
[2024-07-16T05:57:10.658+0530] {logging_mixin.py:188} INFO - 2023-01-16 00:00:00
[2024-07-16T05:57:10.659+0530] {logging_mixin.py:188} INFO - 2023-01-17 00:00:00
[2024-07-16T05:57:10.661+0530] {logging_mixin.py:188} INFO - 2023-01-17 00:00:00
[2024-07-16T05:57:10.662+0530] {logging_mixin.py:188} INFO - 2023-01-17 00:00:00
[2024-07-16T05:57:10.663+0530] {logging_mixin.py:188} INFO - 2023-01-17 00:00:00
[2024-07-16T05:57:10.664+0530] {logging_mixin.py:188} INFO - 2023-01-17 00:00:00
[2024-07-16T05:57:10.665+0530] {logging_mixin.py:188} INFO - 2023-01-17 00:00:00
[2024-07-16T05:57:10.666+0530] {logging_mixin.py:188} INFO - 2023-01-17 00:00:00
[2024-07-16T05:57:10.667+0530] {logging_mixin.py:188} INFO - 2023-01-17 00:00:00
[2024-07-16T05:57:10.667+0530] {logging_mixin.py:188} INFO - 2023-01-17 00:00:00
[2024-07-16T05:57:10.668+0530] {logging_mixin.py:188} INFO - 2023-01-17 00:00:00
[2024-07-16T05:57:10.669+0530] {logging_mixin.py:188} INFO - 2023-01-18 00:00:00
[2024-07-16T05:57:10.670+0530] {logging_mixin.py:188} INFO - 2023-01-18 00:00:00
[2024-07-16T05:57:10.671+0530] {logging_mixin.py:188} INFO - 2023-01-18 00:00:00
[2024-07-16T05:57:10.671+0530] {logging_mixin.py:188} INFO - 2023-01-18 00:00:00
[2024-07-16T05:57:10.672+0530] {logging_mixin.py:188} INFO - 2023-01-18 00:00:00
[2024-07-16T05:57:10.673+0530] {logging_mixin.py:188} INFO - 2023-01-18 00:00:00
[2024-07-16T05:57:10.674+0530] {logging_mixin.py:188} INFO - 2023-01-18 00:00:00
[2024-07-16T05:57:10.674+0530] {logging_mixin.py:188} INFO - 2023-01-18 00:00:00
[2024-07-16T05:57:10.675+0530] {logging_mixin.py:188} INFO - 2023-01-18 00:00:00
[2024-07-16T05:57:10.676+0530] {logging_mixin.py:188} INFO - 2023-01-18 00:00:00
[2024-07-16T05:57:10.678+0530] {logging_mixin.py:188} INFO - 2023-01-19 00:00:00
[2024-07-16T05:57:10.679+0530] {logging_mixin.py:188} INFO - 2023-01-19 00:00:00
[2024-07-16T05:57:10.680+0530] {logging_mixin.py:188} INFO - 2023-01-19 00:00:00
[2024-07-16T05:57:10.681+0530] {logging_mixin.py:188} INFO - 2023-01-19 00:00:00
[2024-07-16T05:57:10.682+0530] {logging_mixin.py:188} INFO - 2023-01-19 00:00:00
[2024-07-16T05:57:10.683+0530] {logging_mixin.py:188} INFO - 2023-01-19 00:00:00
[2024-07-16T05:57:10.684+0530] {logging_mixin.py:188} INFO - 2023-01-19 00:00:00
[2024-07-16T05:57:10.684+0530] {logging_mixin.py:188} INFO - 2023-01-19 00:00:00
[2024-07-16T05:57:10.685+0530] {logging_mixin.py:188} INFO - 2023-01-19 00:00:00
[2024-07-16T05:57:10.686+0530] {logging_mixin.py:188} INFO - 2023-01-19 00:00:00
[2024-07-16T05:57:10.686+0530] {logging_mixin.py:188} INFO - 2023-01-20 00:00:00
[2024-07-16T05:57:10.687+0530] {logging_mixin.py:188} INFO - 2023-01-20 00:00:00
[2024-07-16T05:57:10.688+0530] {logging_mixin.py:188} INFO - 2023-01-20 00:00:00
[2024-07-16T05:57:10.689+0530] {logging_mixin.py:188} INFO - 2023-01-20 00:00:00
[2024-07-16T05:57:10.689+0530] {logging_mixin.py:188} INFO - 2023-01-20 00:00:00
[2024-07-16T05:57:10.690+0530] {logging_mixin.py:188} INFO - 2023-01-20 00:00:00
[2024-07-16T05:57:10.691+0530] {logging_mixin.py:188} INFO - 2023-01-20 00:00:00
[2024-07-16T05:57:10.692+0530] {logging_mixin.py:188} INFO - 2023-01-20 00:00:00
[2024-07-16T05:57:10.692+0530] {logging_mixin.py:188} INFO - 2023-01-20 00:00:00
[2024-07-16T05:57:10.695+0530] {logging_mixin.py:188} INFO - 2023-01-20 00:00:00
[2024-07-16T05:57:10.696+0530] {logging_mixin.py:188} INFO - 2023-01-21 00:00:00
[2024-07-16T05:57:10.697+0530] {logging_mixin.py:188} INFO - 2023-01-21 00:00:00
[2024-07-16T05:57:10.697+0530] {logging_mixin.py:188} INFO - 2023-01-21 00:00:00
[2024-07-16T05:57:10.698+0530] {logging_mixin.py:188} INFO - 2023-01-21 00:00:00
[2024-07-16T05:57:10.699+0530] {logging_mixin.py:188} INFO - 2023-01-21 00:00:00
[2024-07-16T05:57:10.700+0530] {logging_mixin.py:188} INFO - 2023-01-21 00:00:00
[2024-07-16T05:57:10.701+0530] {logging_mixin.py:188} INFO - 2023-01-21 00:00:00
[2024-07-16T05:57:10.702+0530] {logging_mixin.py:188} INFO - 2023-01-21 00:00:00
[2024-07-16T05:57:10.702+0530] {logging_mixin.py:188} INFO - 2023-01-21 00:00:00
[2024-07-16T05:57:10.703+0530] {logging_mixin.py:188} INFO - 2023-01-21 00:00:00
[2024-07-16T05:57:10.704+0530] {logging_mixin.py:188} INFO - 2023-01-22 00:00:00
[2024-07-16T05:57:10.705+0530] {logging_mixin.py:188} INFO - 2023-01-22 00:00:00
[2024-07-16T05:57:10.705+0530] {logging_mixin.py:188} INFO - 2023-01-22 00:00:00
[2024-07-16T05:57:10.706+0530] {logging_mixin.py:188} INFO - 2023-01-22 00:00:00
[2024-07-16T05:57:10.707+0530] {logging_mixin.py:188} INFO - 2023-01-22 00:00:00
[2024-07-16T05:57:10.707+0530] {logging_mixin.py:188} INFO - 2023-01-22 00:00:00
[2024-07-16T05:57:10.708+0530] {logging_mixin.py:188} INFO - 2023-01-22 00:00:00
[2024-07-16T05:57:10.709+0530] {logging_mixin.py:188} INFO - 2023-01-22 00:00:00
[2024-07-16T05:57:10.710+0530] {logging_mixin.py:188} INFO - 2023-01-22 00:00:00
[2024-07-16T05:57:10.712+0530] {logging_mixin.py:188} INFO - 2023-01-22 00:00:00
[2024-07-16T05:57:10.712+0530] {logging_mixin.py:188} INFO - 2023-01-23 00:00:00
[2024-07-16T05:57:10.714+0530] {logging_mixin.py:188} INFO - 2023-01-23 00:00:00
[2024-07-16T05:57:10.715+0530] {logging_mixin.py:188} INFO - 2023-01-23 00:00:00
[2024-07-16T05:57:10.715+0530] {logging_mixin.py:188} INFO - 2023-01-23 00:00:00
[2024-07-16T05:57:10.717+0530] {logging_mixin.py:188} INFO - 2023-01-23 00:00:00
[2024-07-16T05:57:10.718+0530] {logging_mixin.py:188} INFO - 2023-01-23 00:00:00
[2024-07-16T05:57:10.719+0530] {logging_mixin.py:188} INFO - 2023-01-23 00:00:00
[2024-07-16T05:57:10.721+0530] {logging_mixin.py:188} INFO - 2023-01-23 00:00:00
[2024-07-16T05:57:10.722+0530] {logging_mixin.py:188} INFO - 2023-01-23 00:00:00
[2024-07-16T05:57:10.723+0530] {logging_mixin.py:188} INFO - 2023-01-23 00:00:00
[2024-07-16T05:57:10.724+0530] {logging_mixin.py:188} INFO - 2023-01-24 00:00:00
[2024-07-16T05:57:10.724+0530] {logging_mixin.py:188} INFO - 2023-01-24 00:00:00
[2024-07-16T05:57:10.725+0530] {logging_mixin.py:188} INFO - 2023-01-24 00:00:00
[2024-07-16T05:57:10.727+0530] {logging_mixin.py:188} INFO - 2023-01-24 00:00:00
[2024-07-16T05:57:10.729+0530] {logging_mixin.py:188} INFO - 2023-01-24 00:00:00
[2024-07-16T05:57:10.730+0530] {logging_mixin.py:188} INFO - 2023-01-24 00:00:00
[2024-07-16T05:57:10.731+0530] {logging_mixin.py:188} INFO - 2023-01-24 00:00:00
[2024-07-16T05:57:10.732+0530] {logging_mixin.py:188} INFO - 2023-01-24 00:00:00
[2024-07-16T05:57:10.733+0530] {logging_mixin.py:188} INFO - 2023-01-24 00:00:00
[2024-07-16T05:57:10.734+0530] {logging_mixin.py:188} INFO - 2023-01-24 00:00:00
[2024-07-16T05:57:10.734+0530] {logging_mixin.py:188} INFO - 2023-01-25 00:00:00
[2024-07-16T05:57:10.735+0530] {logging_mixin.py:188} INFO - 2023-01-25 00:00:00
